id,latitude,longitude,date
501643,44.641716,-1.201663,2021-04-13
501644,44.659664,-1.165259,2021-04-12
501645,44.641716,-1.201663,2021-04-13
501646,44.641716,-1.201663,2021-04-13
501647,44.641716,-1.201663,2021-04-13
501648,44.641716,-1.201663,2021-04-13
501649,44.658496,-1.193047,2021-04-15
501650,44.658496,-1.193047,2021-04-15
501651,44.658496,-1.193047,2021-04-15
501652,44.658496,-1.193047,2021-04-15
501653,44.658496,-1.193047,2021-04-15
501654,44.659664,-1.165259,2021-04-12
501655,44.656649,-1.146988,2021-05-04
501656,44.656649,-1.146988,2021-05-04
501657,44.656649,-1.146988,2021-05-19
501658,44.659664,-1.165259,2021-05-04
501659,44.656649,-1.146988,2021-05-04
501660,44.656649,-1.146988,2021-05-04
501661,44.659664,-1.165259,2021-05-04
501662,44.659664,-1.165259,2021-04-12
501663,48.905086,2.255774,2020-09-22
501664,48.908458,2.237217,2020-10-29
501665,48.913486,2.257169,2020-09-22
501666,48.913486,2.257169,2020-09-22
501667,48.913486,2.257169,2020-09-16
545383,43.6986226,1.8088319,2021-07-12
545384,43.6986226,1.8088319,2021-07-12
545385,43.6986226,1.8088319,2021-05-07
545386,43.4164438,5.2980369,2021-07-12
545387,48.61386,7.70763,2021-07-12
545388,48.61386,7.70763,2021-07-12
545389,48.61386,7.70763,2021-07-12
545390,43.4164438,5.2980369,2021-07-12
545391,43.4164438,5.2980369,2021-07-12
545392,43.4164438,5.2980369,2021-07-12
545393,43.4164438,5.2980369,2021-07-12
545394,43.4164438,5.2980369,2021-07-12
545395,43.4164438,5.2980369,2021-07-12
545396,43.4164438,5.2980369,2021-07-12
545397,43.4164438,5.2980369,2021-07-12
545398,43.4164438,5.2980369,2021-07-12
545399,43.6986226,1.8088319,2021-05-07
545400,43.57849,4.19002,2022-01-13
545401,45.9976615,1.4635033,2021-07-12
545402,45.9976615,1.4635033,2021-07-12
545403,44.78204,-0.65481,2021-04-15
545404,44.78204,-0.65481,2021-04-15
545405,44.78204,-0.65481,2021-04-15
545406,44.78204,-0.65481,2021-05-07
545407,44.78204,-0.65481,2021-05-07
545408,44.78204,-0.65481,2021-05-07
545409,44.78204,-0.65481,2021-05-07
545410,44.78204,-0.65481,2021-07-12
545411,44.85581,-0.6683,2021-11-09
545412,48.25758,2.71869,2021-10-26
545413,44.8374219,-0.6923713,2022-05-05
545414,43.626933,7.045463,2021-02-26
545415,43.64659,1.41904,2022-03-02
545416,47.2756,-1.5103,2021-05-20
545417,49.2849379,4.0309288,2021-07-12
545418,47.9416005,1.8944244,2021-07-12
545419,47.2611,-1.5585,2021-05-20
545420,48.54535,7.6516,2021-07-20
545421,48.54376,7.65126,2021-08-31
545422,48.52599,7.73473,2022-04-21
545423,48.60909,7.71741,2021-10-27
545424,48.52027,7.78094,2021-07-12
545425,48.523229,7.785218,2021-07-12
545426,48.61552,-0.06622,2021-04-15
545427,48.656201,6.1307576,2022-01-20
545428,48.614439,-0.0665999,2021-07-12
545429,44.045159,3.963894,2022-03-02
545430,49.5318369,3.8572651,2021-07-12
545431,50.62498,2.96064,2022-03-10
545432,48.61386,7.70763,2021-07-12
545433,43.4164438,5.2980369,2021-07-12
545434,43.57849,4.19002,2022-01-13
545435,45.9976615,1.4635033,2021-07-12
545436,44.78204,-0.65481,2021-07-12
545437,43.6986226,1.8088319,2021-05-07
545438,44.837068,-0.684597,2021-11-25
545439,45.7576386,3.1419152,2021-07-12
545440,48.4941535,-2.7649063,2021-07-12
545441,47.92535,1.95353,2021-04-27
545442,50.67443,3.12874,2020-10-13
545443,49.00741,2.49332,2021-10-26
545444,50.616,3.1037,2020-10-14
545445,44.83631,0.6827,2021-11-24
545446,47.27488,-1.51079,2021-05-20
545447,47.9446,1.89342,2022-09-07
545448,49.02531,1.18507,2021-04-27
545449,48.967135,1.847847,2021-09-28
545450,50.6645,3.0267,2020-10-14
545451,47.469234,-0.616503,2021-07-12
545452,48.6566337,6.1381254,2022-03-10
545453,44.77782,-0.64658,2021-12-14
545454,49.26989,-0.70653,2021-07-12
545455,44.83848,-0.69241,2021-10-13
545456,47.2761,0.0,2021-05-20
545457,45.441831,4.406451,2021-05-07
545458,47.2746,-1.5105,2021-05-20
545459,49.39868,1.06692,2021-08-11
545460,48.7045081,6.1385568,2022-01-20
545461,47.26161,-1.55827,2021-05-20
545462,48.12477,5.14854,2021-08-30
545463,45.710516,4.933825,2021-10-26
545464,48.75015,-3.45201,2021-07-14
545465,44.83663,-0.68742,2021-10-12
545466,48.03477,-1.75914,2021-05-20
545467,48.61386,7.70763,2021-07-12
501668,48.913486,2.257169,2020-09-22
501669,48.913486,2.257169,2020-09-22
501670,48.908458,2.237217,2020-10-29
501671,48.908458,2.237217,2020-10-29
501672,48.908458,2.237217,2020-10-29
501673,48.908458,2.237217,2020-10-29
501674,48.906326,2.249567,2020-09-16
501675,48.906326,2.249567,2020-09-16
501676,48.906326,2.249567,2020-09-16
501677,48.906326,2.249567,2020-12-09
501678,48.905086,2.255774,2020-09-22
501679,48.905086,2.255774,2020-09-22
501680,48.903906,2.231137,2020-11-10
501681,48.905086,2.255774,2020-09-22
501682,48.903313,2.239232,2020-09-22
501683,48.903906,2.231137,2020-11-10
501684,48.903906,2.231137,2020-11-10
501685,48.903906,2.231137,2020-10-28
501686,48.903906,2.231137,2020-11-10
501687,48.903906,2.231137,2020-11-10
501688,48.906326,2.249567,2020-09-16
501689,48.903313,2.239232,2020-09-22
501690,48.905086,2.255774,2020-09-22
501691,48.903313,2.239232,2020-09-22
501692,48.903313,2.239232,2020-09-22
501693,48.903313,2.239232,2020-09-22
501694,48.903313,2.239232,2020-09-22
501695,48.905086,2.255774,2020-09-22
501696,48.905086,2.255774,2020-09-22
501697,48.906326,2.249567,2020-09-16
501698,48.908458,2.237217,2020-09-22
501699,48.732587,2.365344,2022-06-01
501700,48.732587,2.365344,2022-06-01
501701,48.732587,2.365344,2022-10-07
501702,48.732587,2.365344,2022-10-07
501703,44.966278,4.888315,2022-10-20
501704,44.966278,4.888315,2022-06-08
501705,44.966278,4.888315,2022-10-20
501706,44.966278,4.888315,2022-06-08
501707,48.588446,6.497805,2020-09-01
501708,48.598501,6.489047,2020-08-25
501709,48.598501,6.489047,2020-08-25
501710,48.588446,6.497805,2020-09-01
501711,48.596794,6.529493,2020-07-29
501712,48.614155,6.099536,2020-05-28
501713,48.562346,6.468064,2020-07-08
501714,48.684557,6.188514,2020-11-19
501715,48.684557,6.188514,2020-10-16
501716,48.684557,6.188514,2020-11-19
501717,48.684557,6.188514,2020-10-16
501718,48.695024,6.183827,2020-09-29
501719,48.695024,6.183827,2020-09-29
501720,48.692368,6.185137,2020-09-29
501721,48.692368,6.185137,2020-09-28
501722,48.692368,6.185137,2020-09-29
501723,48.562346,6.468064,2020-07-08
501724,48.592458,6.495991,2020-08-26
501725,48.592458,6.495991,2020-08-26
501726,48.591508,6.489549,2020-08-25
501727,48.6548,6.4859,2020-09-01
501728,48.5571,6.3871,2020-08-18
501729,48.5571,6.3871,2020-08-18
501730,48.5813,6.946,2020-08-18
501731,48.5813,6.946,2020-08-18
501732,48.5553,6.4086,2020-08-18
501733,48.5553,6.4086,2020-08-18
501734,48.5895,6.8437,2020-08-18
501735,48.5895,6.8437,2020-08-18
501736,48.447748,6.739262,2020-07-27
501737,48.531142,6.607995,2020-07-30
501738,48.531142,6.607995,2020-07-30
501739,48.443202,6.739727,2021-04-28
501740,48.443202,6.739727,2021-04-28
501741,48.487852,6.694515,2020-08-26
501742,48.487852,6.694515,2020-08-26
501743,48.591825,6.500003,2020-11-13
501744,48.591825,6.500003,2020-11-13
501745,48.59336,6.503267,2020-08-25
501746,48.59336,6.503267,2020-08-25
501747,48.591508,6.489549,2020-08-25
501748,48.692368,6.185137,2020-09-28
501749,48.70712,6.252347,2020-05-28
501750,48.614155,6.099536,2020-05-28
501751,48.622033,6.16177,2019-09-27
501752,48.649043,6.145994,2019-12-19
501753,48.649043,6.145994,2019-12-19
501754,48.649043,6.145994,2019-12-19
501755,48.649043,6.145994,2019-12-19
501756,48.689914,6.175381,2019-09-27
501757,48.689914,6.175381,2019-09-27
501758,48.689914,6.175381,2019-09-27
501759,48.689914,6.175381,2019-09-27
501760,49.289143,5.77921,2019-08-16
501761,49.289143,5.77921,2019-08-16
501762,49.311222,5.900021,2019-08-16
501763,49.311222,5.900021,2019-08-16
501764,49.388744,5.75571,2019-08-16
501765,49.388744,5.75571,2019-08-16
501766,49.321175,5.804458,2019-08-16
501767,49.321175,5.804458,2019-08-16
501768,49.366657,5.905749,2019-08-16
501769,48.622033,6.16177,2019-09-27
501770,48.666908,6.17863,2020-05-28
501771,48.618467,6.092196,2020-05-28
501772,48.666908,6.17863,2020-05-28
501773,48.618467,6.092196,2020-05-28
501774,48.4952,6.5098,2020-08-18
501775,48.70712,6.252347,2020-05-28
501776,48.735001,6.167017,2021-05-11
501777,48.603982,6.500923,2021-06-22
501778,48.603982,6.500923,2021-06-22
501779,48.589796,6.601472,2021-06-22
501780,48.589796,6.601472,2021-06-22
501781,48.651288,6.235897,2022-09-28
501782,48.651288,6.235897,2022-09-28
501783,48.669613,6.186692,2022-09-28
501784,48.669613,6.186692,2022-09-28
501785,48.771853,6.132647,2022-09-26
501786,48.771853,6.132647,2022-09-26
501787,48.707504,6.252662,2019-02-28
501788,48.649816,6.194121,2020-05-28
501789,48.649816,6.194121,2020-05-28
501790,48.6548,6.4859,2020-09-01
501791,48.4952,6.5098,2020-08-18
501792,48.517423,6.729624,2020-07-30
501793,48.533034,6.461325,2020-07-29
501794,48.584835,6.50647,2020-09-01
501795,48.584835,6.50647,2020-09-01
501796,48.578039,6.622318,2020-07-29
501797,48.578039,6.622318,2020-07-29
501798,48.569703,6.673311,2020-09-02
501799,48.569703,6.673311,2020-09-02
501800,48.539439,6.604733,2020-07-30
501801,48.539439,6.604733,2020-07-30
501802,48.533034,6.461325,2020-07-29
501803,48.574109,6.529611,2020-07-21
501804,48.600135,6.439919,2020-07-29
501805,48.574109,6.529611,2020-07-21
501806,48.480564,6.774703,2020-07-30
501807,48.480564,6.774703,2020-07-30
501808,48.480022,6.815633,2020-07-23
501809,48.480022,6.815633,2020-07-23
501810,48.466942,6.813043,2020-07-30
501811,48.466942,6.813043,2020-07-30
501812,48.419586,6.79138,2020-07-30
501813,48.419586,6.79138,2020-07-30
501814,48.500395,6.451822,2020-07-29
501815,48.500395,6.451822,2020-07-29
501816,48.499449,6.50141,2020-07-29
501817,48.499449,6.50141,2020-07-29
501818,48.517423,6.729624,2020-07-30
501819,48.515558,6.753659,2020-08-18
501820,48.515558,6.753659,2020-08-18
501821,48.509037,6.766798,2020-07-30
501822,48.509037,6.766798,2020-07-30
501823,48.497579,6.749424,2020-07-28
501824,48.497579,6.749424,2020-07-28
501825,48.429512,6.792528,2020-09-18
501826,48.429512,6.792528,2020-09-18
501827,48.412013,6.810074,2020-07-30
501828,48.412013,6.810074,2020-07-30
501829,48.497517,6.655137,2020-07-30
501830,48.497517,6.655137,2020-07-30
501831,48.45428,6.66004,2020-07-28
501832,48.45428,6.66004,2020-07-28
501833,48.444874,6.566207,2020-09-01
501834,48.444874,6.566207,2020-09-01
501835,48.483286,6.569545,2020-07-30
501836,48.483286,6.569545,2020-07-30
501837,48.463424,6.550392,2020-07-28
501838,48.463424,6.550392,2020-07-28
501839,48.519024,6.632634,2020-07-28
501840,48.528022,5.897909,2020-10-15
